
Oct 18, 2018 22:45:59.04 NEW SESSION
Oct 18, 2018 22:46:00.28 [14092:5764:1018/224559.045:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
Oct 18, 2018 22:46:00.28 [14092:5764:1018/224559.045:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
Oct 18, 2018 22:46:00.29 [14092:5764:1018/224559.045:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
Oct 18, 2018 22:46:00.30 [14092:5764:1018/224559.046:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
Oct 18, 2018 22:46:00.30 [14092:5764:1018/224559.046:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
Oct 18, 2018 22:46:00.31 [14092:5764:1018/224559.046:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
Oct 18, 2018 22:46:00.32 [14092:5764:1018/224559.046:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
Oct 18, 2018 22:46:00.32 [14092:5764:1018/224559.046:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
Oct 18, 2018 22:46:00.33 [14092:5764:1018/224559.046:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
Oct 18, 2018 22:46:00.34 [14092:5764:1018/224559.046:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
Oct 18, 2018 22:46:00.35 [14092:5764:1018/224559.046:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
Oct 18, 2018 22:46:00.35 [14092:5764:1018/224559.046:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
Oct 18, 2018 22:46:00.36 [14092:5764:1018/224559.046:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
Oct 18, 2018 22:46:00.37 [14092:5764:1018/224559.046:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
Oct 18, 2018 22:46:00.37 [14092:5764:1018/224559.046:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
Oct 18, 2018 22:46:00.38 [14092:5764:1018/224559.046:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
Oct 18, 2018 22:46:00.39 [14092:5764:1018/224559.046:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
Oct 18, 2018 22:46:00.39 [14092:5764:1018/224600.101:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
Oct 18, 2018 22:46:00.40 [14092:5764:1018/224600.101:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
Oct 18, 2018 22:46:00.41 [14092:5764:1018/224600.101:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
Oct 18, 2018 22:46:00.41 [14092:5764:1018/224600.101:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
Oct 18, 2018 22:46:00.42 [14092:5764:1018/224600.101:ERROR:in_progress_cache_impl.cc(192)] Cache is not initialized, cannot RetrieveEntry.
Oct 18, 2018 22:57:48.13 [14092:5764:1018/225748.130:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:57:48.19 [14092:5764:1018/225748.165:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:57:48.20 [14092:5764:1018/225748.199:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:57:49.16 [14092:5764:1018/225749.166:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:57:49.19 [14092:5764:1018/225749.198:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:57:49.23 [14092:5764:1018/225749.234:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:57:52.99 [14092:5764:1018/225752.999:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:57:53.03 [14092:5764:1018/225753.032:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:57:53.06 [14092:5764:1018/225753.066:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:57:55.26 [14092:5764:1018/225755.265:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:57:55.30 [14092:5764:1018/225755.305:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:57:55.33 [14092:5764:1018/225755.333:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:57:56.26 [14092:5764:1018/225756.265:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:57:56.31 [14092:5764:1018/225756.315:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:57:56.35 [14092:5764:1018/225756.350:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:57:57.29 [14092:5764:1018/225757.297:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:57:57.36 [14092:5764:1018/225757.365:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:57:57.38 [14092:5764:1018/225757.383:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:58:01.19 [14092:5764:1018/225801.199:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:58:01.28 [14092:5764:1018/225801.282:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:58:01.31 [14092:5764:1018/225801.317:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:58:03.46 [14092:5764:1018/225803.464:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:58:03.59 [14092:5764:1018/225803.598:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:58:03.63 [14092:5764:1018/225803.631:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:58:04.78 [14092:5764:1018/225804.781:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:58:04.90 [14092:5764:1018/225804.900:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:58:04.93 [14092:5764:1018/225804.933:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:58:05.63 [14092:5764:1018/225805.631:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:58:05.74 [14092:5764:1018/225805.749:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:58:05.78 [14092:5764:1018/225805.780:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
Oct 18, 2018 22:59:17.79 [14092:13096:1018/225917.792:ERROR:ssl_client_socket_impl.cc(1050)] handshake failed; returned -1, SSL error code 1, net_error -101
Oct 18, 2018 23:16:01.96 [14092:13096:1018/231601.959:ERROR:socket_stream.cc(210)] Closing stream with result -101
Oct 18, 2018 23:31:24.20 [14092:13096:1018/233124.207:ERROR:socket_stream.cc(210)] Closing stream with result -101
Oct 18, 2018 23:38:47.84 [14092:13096:1018/233847.847:ERROR:socket_stream.cc(210)] Closing stream with result -101
Oct 18, 2018 23:38:54.25 [14092:13096:1018/233854.253:ERROR:connection_factory_impl.cc(396)] Failed to connect to MCS endpoint with error -21
Oct 18, 2018 23:43:59.65 [14092:13096:1018/234359.657:ERROR:socket_stream.cc(210)] Closing stream with result -100
